CustomerID                                                                                                                                                                                                                                                       CustomerLifetimeValue
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
13722                                                                                                                                                                                                                                                            998.52
14321                                                                                                                                                                                                                                                            997.31
17809                                                                                                                                                                                                                                                            -990.32
15032                                                                                                                                                                                                                                                            990.21
13077                                                                                                                                                                                                                                                            99.95
12657                                                                                                                                                                                                                                                            -99.42
12624                                                                                                                                                                                                                                                            99.41
17375                                                                                                                                                                                                                                                            99.00
13764                                                                                                                                                                                                                                                            989.43
12423                                                                                                                                                                                                                                                            986.51
13285                                                                                                                                                                                                                                                            -986.42
18260                                                                                                                                                                                                                                                            985.81
13379                                                                                                                                                                                                                                                            -98.95
15763                                                                                                                                                                                                                                                            -98.94
17708                                                                                                                                                                                                                                                            98.84
14500                                                                                                                                                                                                                                                            98.74
17765                                                                                                                                                                                                                                                            98.71
16682                                                                                                                                                                                                                                                            -98.57
16010                                                                                                                                                                                                                                                            98.49
16790                                                                                                                                                                                                                                                            98.25
16469                                                                                                                                                                                                                                                            -98.08
18173                                                                                                                                                                                                                                                            979.10
17937                                                                                                                                                                                                                                                            -978.08
14841                                                                                                                                                                                                                                                            -970.34
14731                                                                                                                                                                                                                                                            -97.94
14432                                                                                                                                                                                                                                                            -97.85
16620                                                                                                                                                                                                                                                            -97.63
16109                                                                                                                                                                                                                                                            97.44
15759                                                                                                                                                                                                                                                            97.06
12891                                                                                                                                                                                                                                                            97.03
12826                                                                                                                                                                                                                                                            968.76
15067                                                                                                                                                                                                                                                            966.43
16041                                                                                                                                                                                                                                                            -962.93
16332                                                                                                                                                                                                                                                            -96.73
17736                                                                                                                                                                                                                                                            -96.16
12993                                                                                                                                                                                                                                                            -96.15
17095                                                                                                                                                                                                                                                            96.11
16209                                                                                                                                                                                                                                                            959.10
12645                                                                                                                                                                                                                                                            958.00
12348                                                                                                                                                                                                                                                            956.85
13048                                                                                                                                                                                                                                                            953.83
13735                                                                                                                                                                                                                                                            -952.29
14029                                                                                                                                                                                                                                                            -95.93
13558                                                                                                                                                                                                                                                            95.72
13860                                                                                                                                                                                                                                                            -95.71
13566                                                                                                                                                                                                                                                            -95.64
13032                                                                                                                                                                                                                                                            -95.56
15577                                                                                                                                                                                                                                                            95.53
16112                                                                                                                                                                                                                                                            95.46
18180                                                                                                                                                                                                                                                            -95.33
14116                                                                                                                                                                                                                                                            -95.16
15571                                                                                                                                                                                                                                                            -95.00
17085                                                                                                                                                                                                                                                            948.06
13495                                                                                                                                                                                                                                                            -947.89
14209                                                                                                                                                                                                                                                            946.45
16395                                                                                                                                                                                                                                                            946.39
16059                                                                                                                                                                                                                                                            945.59
14502                                                                                                                                                                                                                                                            945.44
14701                                                                                                                                                                                                                                                            942.30
13848                                                                                                                                                                                                                                                            942.11
15497                                                                                                                                                                                                                                                            941.99
14551                                                                                                                                                                                                                                                            -94.90
13925                                                                                                                                                                                                                                                            -94.61
12950                                                                                                                                                                                                                                                            94.07
14364                                                                                                                                                                                                                                                            937.75
15416                                                                                                                                                                                                                                                            -934.52
14390                                                                                                                                                                                                                                                            -932.80
12749                                                                                                                                                                                                                                                            -932.31
14194                                                                                                                                                                                                                                                            -930.19
18096                                                                                                                                                                                                                                                            93.61
13430                                                                                                                                                                                                                                                            -93.59
16835                                                                                                                                                                                                                                                            93.47
14335                                                                                                                                                                                                                                                            -93.45
15103                                                                                                                                                                                                                                                            -93.42
15850                                                                                                                                                                                                                                                            -93.33
14700                                                                                                                                                                                                                                                            -929.88
13634                                                                                                                                                                                                                                                            928.33
16242                                                                                                                                                                                                                                                            -925.61
16875                                                                                                                                                                                                                                                            922.29
16592                                                                                                                                                                                                                                                            -921.75
16359                                                                                                                                                                                                                                                            920.97
18016                                                                                                                                                                                                                                                            920.72
14511                                                                                                                                                                                                                                                            -92.89
14108                                                                                                                                                                                                                                                            -92.70
12518                                                                                                                                                                                                                                                            -92.69
14959                                                                                                                                                                                                                                                            -92.67
13422                                                                                                                                                                                                                                                            -92.66
15134                                                                                                                                                                                                                                                            -92.20
15351                                                                                                                                                                                                                                                            -92.13
18178                                                                                                                                                                                                                                                            918.60
17284                                                                                                                                                                                                                                                            915.78
16791                                                                                                                                                                                                                                                            910.80
15014                                                                                                                                                                                                                                                            -91.76
14479                                                                                                                                                                                                                                                            91.61
12882                                                                                                                                                                                                                                                            -91.54
14496                                                                                                                                                                                                                                                            91.52
12930                                                                                                                                                                                                                                                            91.32
18190                                                                                                                                                                                                                                                            91.20
16638                                                                                                                                                                                                                                                            909.78
16279                                                                                                                                                                                                                                                            907.02
17716                                                                                                                                                                                                                                                            -906.63
17188                                                                                                                                                                                                                                                            906.45
12949                                                                                                                                                                                                                                                            -903.77
17311                                                                                                                                                                                                                                                            903.00
18158                                                                                                                                                                                                                                                            -90.91
16086                                                                                                                                                                                                                                                            -90.53
12787                                                                                                                                                                                                                                                            -90.24
13005                                                                                                                                                                                                                                                            90.22
14320                                                                                                                                                                                                                                                            90.14
12410                                                                                                                                                                                                                                                            -9.99
14354                                                                                                                                                                                                                                                            9.98
14793                                                                                                                                                                                                                                                            9.97
13370                                                                                                                                                                                                                                                            9.88
13345                                                                                                                                                                                                                                                            9.87
15275                                                                                                                                                                                                                                                            9.85
14950                                                                                                                                                                                                                                                            9.82
15598                                                                                                                                                                                                                                                            9.72
14497                                                                                                                                                                                                                                                            -9.68
12809                                                                                                                                                                                                                                                            9.66
17946                                                                                                                                                                                                                                                            9.63
15345                                                                                                                                                                                                                                                            9.59
17578                                                                                                                                                                                                                                                            9.57
16832                                                                                                                                                                                                                                                            9.52
14311                                                                                                                                                                                                                                                            9.28
17237                                                                                                                                                                                                                                                            9.24
17649                                                                                                                                                                                                                                                            9.22
15355                                                                                                                                                                                                                                                            9.22
12450                                                                                                                                                                                                                                                            9.22
16116                                                                                                                                                                                                                                                            9.07
12921                                                                                                                                                                                                                                                            9,594.96
16839                                                                                                                                                                                                                                                            9,520.11
15513                                                                                                                                                                                                                                                            9,205.21
17677                                                                                                                                                                                                                                                            9,169.52
12653                                                                                                                                                                                                                                                            896.05
14407                                                                                                                                                                                                                                                            894.17
17861                                                                                                                                                                                                                                                            890.96
16593                                                                                                                                                                                                                                                            -89.78
14465                                                                                                                                                                                                                                                            89.69
13138                                                                                                                                                                                                                                                            -89.65
16414                                                                                                                                                                                                                                                            -89.59
15948                                                                                                                                                                                                                                                            89.58
15787                                                                                                                                                                                                                                                            89.45
17014                                                                                                                                                                                                                                                            89.35
12815                                                                                                                                                                                                                                                            89.34
14665                                                                                                                                                                                                                                                            -89.14
15365                                                                                                                                                                                                                                                            888.46
14936                                                                                                                                                                                                                                                            -886.96
14045                                                                                                                                                                                                                                                            885.26
16265                                                                                                                                                                                                                                                            -882.69
17272                                                                                                                                                                                                                                                            -881.31
15587                                                                                                                                                                                                                                                            -88.93
16533                                                                                                                                                                                                                                                            88.93
14273                                                                                                                                                                                                                                                            -88.85
14517                                                                                                                                                                                                                                                            -88.84
14162                                                                                                                                                                                                                                                            88.67
15306                                                                                                                                                                                                                                                            -88.56
13707                                                                                                                                                                                                                                                            88.37
13643                                                                                                                                                                                                                                                            -88.28
14690                                                                                                                                                                                                                                                            -88.08
16940                                                                                                                                                                                                                                                            -879.06
16681                                                                                                                                                                                                                                                            877.89
14441                                                                                                                                                                                                                                                            876.61
16609                                                                                                                                                                                                                                                            -875.07
14047                                                                                                                                                                                                                                                            870.72
15297                                                                                                                                                                                                                                                            87.85
16777                                                                                                                                                                                                                                                            87.81
17370                                                                                                                                                                                                                                                            87.61
